product_name,price,description,rating,reviews,extraction_date
Lenovo V110-15ISK,$409.63,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",3,9 reviews,2026-01-13 19:20:48
Acer Aspire ES1-732 Black,$410.46,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",4,14 reviews,2026-01-13 19:20:48
Asus VivoBook 15 X540NA-GQ026T,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4,4 reviews,2026-01-13 19:20:48
Packard 255 G2,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2,2 reviews,2026-01-13 19:20:48
Asus EeeBook R416NA-FA014T,$433.3,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",1,1 reviews,2026-01-13 19:20:48
Acer Aspire 3 A315-51,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",1,1 reviews,2026-01-13 19:20:48
Acer Aspire ES1-572 Black,$436.29,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",1,2 reviews,2026-01-13 19:20:48
Acer Extensa 15 (2540) Black,$439.73,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",4,6 reviews,2026-01-13 19:20:48
Acer Aspire ES1-572 Black,$454.62,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",1,9 reviews,2026-01-13 19:20:48
Lenovo V110-15ISK,$454.73,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",2,2 reviews,2026-01-13 19:20:48
Acer Aspire A315-51-33TG,$457.38,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",3,9 reviews,2026-01-13 19:20:48
Lenovo V110-15IKB,$465.95,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",1,7 reviews,2026-01-13 19:20:48
Asus VivoBook 15 X540UA-DM260 Chocolate Black,$468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",3,1 reviews,2026-01-13 19:20:48
Acer Aspire ES1-572 Black,$469.1,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",3,5 reviews,2026-01-13 19:20:48
Lenovo V510 Black,$484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",3,8 reviews,2026-01-13 19:20:48
Acer Aspire ES1-572 Black,$485.9,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",3,6 reviews,2026-01-13 19:20:48
Lenovo V510 Black,$487.8,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",2,9 reviews,2026-01-13 19:20:48
Acer Swift 1 SF113-31 Silver,$488.64,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",3,4 reviews,2026-01-13 19:20:48
Dell Vostro 15,$488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",4,14 reviews,2026-01-13 19:20:48
Acer Aspire 3 A315-51 Black,$494.71,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",4,2 reviews,2026-01-13 19:20:48
Dell Vostro 15 (3568) Red,$497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",1,9 reviews,2026-01-13 19:20:48
Lenovo V510 Black,$498.23,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",3,5 reviews,2026-01-13 19:20:48
HP 250 G3,$520.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",2,13 reviews,2026-01-13 19:20:48
Acer Spin 5,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",2,0 reviews,2026-01-13 19:20:48
HP 350 G1,$577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",2,10 reviews,2026-01-13 19:20:48
Aspire E1-572G,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",1,2 reviews,2026-01-13 19:20:48
Pavilion,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",1,4 reviews,2026-01-13 19:20:48
Acer Aspire A515-51-5654,$679,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",2,9 reviews,2026-01-13 19:20:48
Dell Inspiron 15,$679,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",2,7 reviews,2026-01-13 19:20:48
Asus VivoBook S14,$729,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",1,2 reviews,2026-01-13 19:20:48
ProBook,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",4,8 reviews,2026-01-13 19:20:48
Inspiron 15,$745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",3,12 reviews,2026-01-13 19:20:48
Asus ROG STRIX GL553VD-DM256,$799,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",2,7 reviews,2026-01-13 19:20:48
Acer Nitro 5 AN515-51,$809,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",1,0 reviews,2026-01-13 19:20:48
Asus ROG STRIX GL553VD-DM256,$899,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",1,7 reviews,2026-01-13 19:20:48
Lenovo ThinkPad L570,$999,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",3,11 reviews,2026-01-13 19:20:48
ThinkPad Yoga,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",2,13 reviews,2026-01-13 19:20:48
Lenovo ThinkPad L460,$1096.02,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",4,14 reviews,2026-01-13 19:20:48
Dell Inspiron 15 (7567) Black,$1098.42,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",1,7 reviews,2026-01-13 19:20:48
MSI GL72M 7RDX,$1099,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",4,1 reviews,2026-01-13 19:20:48
MSI GL72M 7RDX,$1099,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",1,9 reviews,2026-01-13 19:20:48
Asus ROG Strix GL553VD-DM535T,$1101.83,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",2,4 reviews,2026-01-13 19:20:48
Dell Latitude 5280,$1102.66,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",1,8 reviews,2026-01-13 19:20:48
Dell Latitude 5480,$1110.14,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",3,4 reviews,2026-01-13 19:20:48
Lenovo Legion Y520-15IKBM,$1112.91,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",4,1 reviews,2026-01-13 19:20:48
Toshiba Portege Z30-C-16J Grey,$1114.55,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",1,0 reviews,2026-01-13 19:20:48
Acer Predator Helios 300 (PH317-51),$1123.87,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",2,1 reviews,2026-01-13 19:20:48
Acer Aspire 7 A715-71G,$1123.87,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",2,4 reviews,2026-01-13 19:20:48
Dell Inspiron 17 2in1 (7779) Silver,$1124.2,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",3,10 reviews,2026-01-13 19:20:48
Dell Latitude 5480,$1133.82,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",4,14 reviews,2026-01-13 19:20:48
Lenovo Legion Y520,$1133.91,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",1,13 reviews,2026-01-13 19:20:48
Asus AsusPro Advanced BU401LA-FA271G Dark Grey,$1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",3,7 reviews,2026-01-13 19:20:48
Acer Nitro 5 AN515-51,$1140.62,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",3,14 reviews,2026-01-13 19:20:48
Dell Latitude 5480,$1143.4,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",4,5 reviews,2026-01-13 19:20:48
Dell Inspiron 15 (7567) Black,$1144.2,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",1,2 reviews,2026-01-13 19:20:48
Dell Latitude 5580,$1144.4,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",3,10 reviews,2026-01-13 19:20:48
Lenovo Legion Y520-15IKBM,$1149,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",3,11 reviews,2026-01-13 19:20:48
MSI GP62M 7RDX Leopard,$1149,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",1,11 reviews,2026-01-13 19:20:48
Lenovo Yoga 720 Grey,$1149.73,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",2,12 reviews,2026-01-13 19:20:48
Toshiba Portege Z30-C-16L Grey,$1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",1,7 reviews,2026-01-13 19:20:48
Acer TravelMate P645-S-511A Black,$1170.1,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",1,0 reviews,2026-01-13 19:20:48
Dell Latitude 5580,$1178.19,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",3,6 reviews,2026-01-13 19:20:48
ThinkPad T540p,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",1,2 reviews,2026-01-13 19:20:48
MSI GS63 7RD Stealth,$1179,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",1,2 reviews,2026-01-13 19:20:48
Dell Latitude 5480,$1187.88,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",3,5 reviews,2026-01-13 19:20:48
Acer Predator Helios 300 (PH317-51),$1187.98,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",3,14 reviews,2026-01-13 19:20:48
MSI GL62M 7REX,$1199,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",1,7 reviews,2026-01-13 19:20:48
MSI GL62M 7REX2,$1199,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",2,12 reviews,2026-01-13 19:20:48
Lenovo Yoga 910 Grey,$1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",3,7 reviews,2026-01-13 19:20:48
Toshiba Portege X30-D-10J Black/Blue,$1203.41,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",4,13 reviews,2026-01-13 19:20:48
Lenovo IdeaPad Miix 510 Platinum Silver,$1212.16,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",4,0 reviews,2026-01-13 19:20:48
Acer Predator Helios 300 (PH317-51),$1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",1,9 reviews,2026-01-13 19:20:48
ThinkPad Yoga,$1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",3,2 reviews,2026-01-13 19:20:48
Asus VivoBook Pro 15 N580VN-FI006T Gold Metal,$1235.49,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",2,10 reviews,2026-01-13 19:20:48
Dell Latitude 5480,$1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",2,0 reviews,2026-01-13 19:20:48
Asus ZenBook UX530UX-FY040T Blue,$1239.2,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",1,14 reviews,2026-01-13 19:20:48
ThinkPad X230,$1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",3,10 reviews,2026-01-13 19:20:48
Asus ROG Strix GL753VE-GC096T,$1259,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",4,7 reviews,2026-01-13 19:20:48
"Apple MacBook Air 13""",$1260.13,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",4,8 reviews,2026-01-13 19:20:48
Dell Latitude 5480,$1271.06,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",1,13 reviews,2026-01-13 19:20:48
Hewlett Packard Spectre 13-v106na Dark Ash Silver,$1273.11,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",3,8 reviews,2026-01-13 19:20:48
Dell XPS 13,$1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",3,4 reviews,2026-01-13 19:20:48
Toshiba Portege Z30-C-16K Grey,$1294.74,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",1,6 reviews,2026-01-13 19:20:48
MSI GL62VR 7RFX,$1299,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",3,1 reviews,2026-01-13 19:20:48
Dell Latitude 5480,$1310.39,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",3,8 reviews,2026-01-13 19:20:48
ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",3,12 reviews,2026-01-13 19:20:48
Hewlett Packard ProBook 640 G3,$1326.83,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",1,2 reviews,2026-01-13 19:20:48
"Apple MacBook Pro 13"" Space Gray",$1333,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",1,0 reviews,2026-01-13 19:20:48
Dell Latitude 5580,$1337.28,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",1,6 reviews,2026-01-13 19:20:48
Dell Latitude 5480,$1338.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",2,11 reviews,2026-01-13 19:20:48
Dell Latitude 5580,$1341.22,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",3,3 reviews,2026-01-13 19:20:48
"Apple MacBook Air 13""",$1347.78,"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",2,11 reviews,2026-01-13 19:20:48
Lenovo ThinkPad T470,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",1,5 reviews,2026-01-13 19:20:48
Lenovo ThinkPad Yoga 370 Black,$1362.24,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",2,12 reviews,2026-01-13 19:20:48
Toshiba Portege X20W-D-10V Black/Blue,$1366.32,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",1,11 reviews,2026-01-13 19:20:48
Asus ASUSPRO B9440UA-GV0279R Gray,$1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",1,4 reviews,2026-01-13 19:20:48
Lenovo Legion Y720,$1399,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",3,8 reviews,2026-01-13 19:20:48
Asus ROG Strix GL702VM-GC146T,$1399,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd",3,10 reviews,2026-01-13 19:20:48
Asus ROG Strix GL702ZC-GC154T,$1769,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",4,7 reviews,2026-01-13 19:20:48
Asus ROG Strix GL702ZC-GC209T,$1769,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",1,8 reviews,2026-01-13 19:20:48
Asus ROG Strix SCAR Edition GL503VM-ED115T,$1799,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",3,8 reviews,2026-01-13 19:20:48
