Product Name,Brand,Price (USD),Rating,Review Count,Description,Extraction Date
Asus VivoBook Max,Asus,399.0,1,4,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",2026-01-13 19:20:48
Asus VivoBook E502NA-GO022T Dark Blue,Asus,399.99,4,3,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",2026-01-13 19:20:48
Lenovo ThinkPad E31-80,Lenovo,404.23,1,12,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",2026-01-13 19:20:48
Acer Aspire 3 A315-31 Black,Acer,408.98,4,10,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2026-01-13 19:20:48
Lenovo V110-15ISK,Lenovo,409.63,3,9,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",2026-01-13 19:20:48
Acer Aspire ES1-732 Black,Acer,410.46,4,14,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",2026-01-13 19:20:48
Asus VivoBook 15 X540NA-GQ026T,Asus,410.66,4,4,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",2026-01-13 19:20:48
Packard 255 G2,Packard,416.99,2,2,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2026-01-13 19:20:48
Asus EeeBook R416NA-FA014T,Asus,433.3,1,1,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",2026-01-13 19:20:48
Acer Aspire 3 A315-51,Acer,436.29,1,1,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",2026-01-13 19:20:48
Acer Aspire ES1-572 Black,Acer,436.29,1,2,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",2026-01-13 19:20:48
Acer Extensa 15 (2540) Black,Acer,439.73,4,6,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",2026-01-13 19:20:48
Acer Aspire ES1-572 Black,Acer,454.62,1,9,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",2026-01-13 19:20:48
Lenovo V110-15ISK,Lenovo,454.73,2,2,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",2026-01-13 19:20:48
Acer Aspire A315-51-33TG,Acer,457.38,3,9,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",2026-01-13 19:20:48
Lenovo V110-15IKB,Lenovo,465.95,1,7,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",2026-01-13 19:20:48
Asus VivoBook 15 X540UA-DM260 Chocolate Black,Asus,468.56,3,1,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",2026-01-13 19:20:48
Acer Aspire ES1-572 Black,Acer,469.1,3,5,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",2026-01-13 19:20:48
Lenovo V510 Black,Lenovo,484.23,3,8,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",2026-01-13 19:20:48
Acer Aspire ES1-572 Black,Acer,485.9,3,6,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",2026-01-13 19:20:48
Lenovo V510 Black,Lenovo,487.8,2,9,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",2026-01-13 19:20:48
Acer Swift 1 SF113-31 Silver,Acer,488.64,3,4,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",2026-01-13 19:20:48
Dell Vostro 15,Dell,488.78,4,14,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",2026-01-13 19:20:48
Acer Aspire 3 A315-51 Black,Acer,494.71,4,2,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",2026-01-13 19:20:48
Dell Vostro 15 (3568) Red,Dell,497.17,1,9,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",2026-01-13 19:20:48
Lenovo V510 Black,Lenovo,498.23,3,5,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",2026-01-13 19:20:48
HP 250 G3,HP,520.99,2,13,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",2026-01-13 19:20:48
Acer Spin 5,Acer,564.98,2,0,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",2026-01-13 19:20:48
HP 350 G1,HP,577.99,2,10,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",2026-01-13 19:20:48
Aspire E1-572G,Aspire,581.99,1,2,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",2026-01-13 19:20:48
Pavilion,Pavilion,609.99,1,4,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",2026-01-13 19:20:48
Acer Aspire A515-51-5654,Acer,679.0,2,9,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",2026-01-13 19:20:48
Dell Inspiron 15,Dell,679.0,2,7,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",2026-01-13 19:20:48
Asus VivoBook S14,Asus,729.0,1,2,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",2026-01-13 19:20:48
ProBook,ProBook,739.99,4,8,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",2026-01-13 19:20:48
Inspiron 15,Inspiron,745.99,3,12,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",2026-01-13 19:20:48
Asus ROG STRIX GL553VD-DM256,Asus,799.0,2,7,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",2026-01-13 19:20:48
Acer Nitro 5 AN515-51,Acer,809.0,1,0,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",2026-01-13 19:20:48
Asus ROG STRIX GL553VD-DM256,Asus,899.0,1,7,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",2026-01-13 19:20:48
Lenovo ThinkPad L570,Lenovo,999.0,3,11,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",2026-01-13 19:20:48
ThinkPad Yoga,ThinkPad,1033.99,2,13,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",2026-01-13 19:20:48
Lenovo ThinkPad L460,Lenovo,1096.02,4,14,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",2026-01-13 19:20:48
Dell Inspiron 15 (7567) Black,Dell,1098.42,1,7,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",2026-01-13 19:20:48
MSI GL72M 7RDX,MSI,1099.0,4,1,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",2026-01-13 19:20:48
Asus ROG Strix GL553VD-DM535T,Asus,1101.83,2,4,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",2026-01-13 19:20:48
Dell Latitude 5280,Dell,1102.66,1,8,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",2026-01-13 19:20:48
Dell Latitude 5480,Dell,1110.14,3,4,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",2026-01-13 19:20:48
Lenovo Legion Y520-15IKBM,Lenovo,1112.91,4,1,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",2026-01-13 19:20:48
Toshiba Portege Z30-C-16J Grey,Toshiba,1114.55,1,0,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",2026-01-13 19:20:48
Acer Predator Helios 300 (PH317-51),Acer,1123.87,2,1,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",2026-01-13 19:20:48
Acer Aspire 7 A715-71G,Acer,1123.87,2,4,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",2026-01-13 19:20:48
Dell Inspiron 17 2in1 (7779) Silver,Dell,1124.2,3,10,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",2026-01-13 19:20:48
Dell Latitude 5480,Dell,1133.82,4,14,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",2026-01-13 19:20:48
Lenovo Legion Y520,Lenovo,1133.91,1,13,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",2026-01-13 19:20:48
Asus AsusPro Advanced BU401LA-FA271G Dark Grey,Asus,1139.54,3,7,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",2026-01-13 19:20:48
Acer Nitro 5 AN515-51,Acer,1140.62,3,14,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",2026-01-13 19:20:48
Dell Latitude 5480,Dell,1143.4,4,5,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",2026-01-13 19:20:48
Dell Inspiron 15 (7567) Black,Dell,1144.2,1,2,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",2026-01-13 19:20:48
Dell Latitude 5580,Dell,1144.4,3,10,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",2026-01-13 19:20:48
Lenovo Legion Y520-15IKBM,Lenovo,1149.0,3,11,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",2026-01-13 19:20:48
MSI GP62M 7RDX Leopard,MSI,1149.0,1,11,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",2026-01-13 19:20:48
Lenovo Yoga 720 Grey,Lenovo,1149.73,2,12,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",2026-01-13 19:20:48
Toshiba Portege Z30-C-16L Grey,Toshiba,1154.04,1,7,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",2026-01-13 19:20:48
Acer TravelMate P645-S-511A Black,Acer,1170.1,1,0,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",2026-01-13 19:20:48
Dell Latitude 5580,Dell,1178.19,3,6,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",2026-01-13 19:20:48
ThinkPad T540p,ThinkPad,1178.99,1,2,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",2026-01-13 19:20:48
MSI GS63 7RD Stealth,MSI,1179.0,1,2,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",2026-01-13 19:20:48
Dell Latitude 5480,Dell,1187.88,3,5,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",2026-01-13 19:20:48
Acer Predator Helios 300 (PH317-51),Acer,1187.98,3,14,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",2026-01-13 19:20:48
MSI GL62M 7REX,MSI,1199.0,1,7,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",2026-01-13 19:20:48
MSI GL62M 7REX2,MSI,1199.0,2,12,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",2026-01-13 19:20:48
Lenovo Yoga 910 Grey,Lenovo,1199.73,3,7,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",2026-01-13 19:20:48
Toshiba Portege X30-D-10J Black/Blue,Toshiba,1203.41,4,13,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",2026-01-13 19:20:48
Lenovo IdeaPad Miix 510 Platinum Silver,Lenovo,1212.16,4,0,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",2026-01-13 19:20:48
Acer Predator Helios 300 (PH317-51),Acer,1221.58,1,9,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",2026-01-13 19:20:48
ThinkPad Yoga,ThinkPad,1223.99,3,2,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",2026-01-13 19:20:48
Asus VivoBook Pro 15 N580VN-FI006T Gold Metal,Asus,1235.49,2,10,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",2026-01-13 19:20:48
Dell Latitude 5480,Dell,1238.37,2,0,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",2026-01-13 19:20:48
Asus ZenBook UX530UX-FY040T Blue,Asus,1239.2,1,14,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",2026-01-13 19:20:48
ThinkPad X230,ThinkPad,1244.99,3,10,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",2026-01-13 19:20:48
Asus ROG Strix GL753VE-GC096T,Asus,1259.0,4,7,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",2026-01-13 19:20:48
"Apple MacBook Air 13""",Apple,1260.13,4,8,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",2026-01-13 19:20:48
Dell Latitude 5480,Dell,1271.06,1,13,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",2026-01-13 19:20:48
Hewlett Packard Spectre 13-v106na Dark Ash Silver,Hewlett,1273.11,3,8,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",2026-01-13 19:20:48
Dell XPS 13,Dell,1281.99,3,4,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",2026-01-13 19:20:48
Toshiba Portege Z30-C-16K Grey,Toshiba,1294.74,1,6,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",2026-01-13 19:20:48
MSI GL62VR 7RFX,MSI,1299.0,3,1,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",2026-01-13 19:20:48
Dell Latitude 5480,Dell,1310.39,3,8,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",2026-01-13 19:20:48
ThinkPad X240,ThinkPad,1311.99,3,12,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",2026-01-13 19:20:48
Hewlett Packard ProBook 640 G3,Hewlett,1326.83,1,2,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",2026-01-13 19:20:48
"Apple MacBook Pro 13"" Space Gray",Apple,1333.0,1,0,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",2026-01-13 19:20:48
Dell Latitude 5580,Dell,1337.28,1,6,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",2026-01-13 19:20:48
Dell Latitude 5480,Dell,1338.37,2,11,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",2026-01-13 19:20:48
Dell Latitude 5580,Dell,1341.22,3,3,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",2026-01-13 19:20:48
"Apple MacBook Air 13""",Apple,1347.78,2,11,"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",2026-01-13 19:20:48
Lenovo ThinkPad T470,Lenovo,1349.23,1,5,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",2026-01-13 19:20:48
Lenovo ThinkPad Yoga 370 Black,Lenovo,1362.24,2,12,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",2026-01-13 19:20:48
Toshiba Portege X20W-D-10V Black/Blue,Toshiba,1366.32,1,11,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",2026-01-13 19:20:48
Asus ASUSPRO B9440UA-GV0279R Gray,Asus,1381.13,1,4,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",2026-01-13 19:20:48
Lenovo Legion Y720,Lenovo,1399.0,3,8,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",2026-01-13 19:20:48
Asus ROG Strix GL702VM-GC146T,Asus,1399.0,3,10,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd",2026-01-13 19:20:48
Asus ROG Strix GL702ZC-GC154T,Asus,1769.0,4,7,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",2026-01-13 19:20:48
Asus ROG Strix GL702ZC-GC209T,Asus,1769.0,1,8,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",2026-01-13 19:20:48
Asus ROG Strix SCAR Edition GL503VM-ED115T,Asus,1799.0,3,8,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",2026-01-13 19:20:48
